[CURAND],precision,trials/thread,blocks,threads/block,gpu-pi-time,cpu-pi-time,pthread-pi-time,gpu-pi,gpu-error,cpu-pi,cpu-error,pthread-pi,pthread-error,pthread-count,
[CURAND],sp,256,256,256,0.600000,0.580000,6.950000,3.141898,0.000305,3.141441,-0.000151,3.141828,0.000235,2,
[CURAND],sp,1024,256,256,0.180000,2.400000,28.330000,3.141390,-0.000202,3.141401,-0.000192,3.141948,0.000355,2,
[CURAND],sp,4096,256,256,0.540000,9.460000,96.949997,3.141582,-0.000011,3.141581,-0.000012,3.141451,-0.000141,2,
[CURAND],sp,256,256,256,0.120000,0.590000,21.670000,3.141898,0.000305,3.141441,-0.000151,3.141515,-0.000078,4,
[CURAND],sp,1024,256,256,0.180000,2.410000,81.580002,3.141390,-0.000202,3.141401,-0.000192,3.141567,-0.000026,4,
[CURAND],sp,4096,256,256,0.520000,9.520000,313.640015,3.141582,-0.000011,3.141581,-0.000012,3.141493,-0.000100,4,
[CURAND],sp,256,256,256,0.090000,0.600000,38.209999,3.141898,0.000305,3.141441,-0.000151,3.141885,0.000292,8,
[CURAND],sp,1024,256,256,0.180000,2.390000,149.850006,3.141390,-0.000202,3.141401,-0.000192,3.141731,0.000139,8,
[CURAND],sp,4096,256,256,0.520000,9.470000,543.470032,3.141582,-0.000011,3.141581,-0.000012,3.141540,-0.000053,8,
[CURAND],dp,256,256,256,0.620000,0.560000,5.550000,3.141898,0.000305,3.141441,-0.000151,3.141792,0.000200,2,
[CURAND],dp,1024,256,256,0.180000,2.380000,21.129999,3.141394,-0.000199,3.141400,-0.000192,3.141879,0.000286,2,
[CURAND],dp,4096,256,256,0.540000,9.140000,78.230003,3.141576,-0.000017,3.141581,-0.000012,3.141535,-0.000057,2,
[CURAND],dp,256,256,256,0.110000,0.580000,21.059999,3.141898,0.000305,3.141441,-0.000151,3.141991,0.000398,4,
[CURAND],dp,1024,256,256,0.180000,2.300000,71.629997,3.141394,-0.000199,3.141400,-0.000192,3.142026,0.000434,4,
[CURAND],dp,4096,256,256,0.530000,9.210000,578.869995,3.141576,-0.000017,3.141581,-0.000012,3.141583,-0.000010,4,
[CURAND],dp,256,256,256,0.100000,0.590000,37.919998,3.141898,0.000305,3.141441,-0.000151,3.141519,-0.000074,8,
[CURAND],dp,1024,256,256,0.180000,2.340000,134.080002,3.141394,-0.000199,3.141400,-0.000192,3.142004,0.000411,8,
[CURAND],dp,4096,256,256,0.540000,9.170000,602.559998,3.141576,-0.000017,3.141581,-0.000012,3.141420,-0.000173,8,
